Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
309,80.71,413.019,713.896,5785.424805,5726.2266,825.5107,-0.1432
308,82.59,410.955,733.71,5601.056152,5508.9995,1011.3127,-0.1816
307,84.51,413.948,783.733,5281.750488,5198.6289,933.3535,-0.1776
306,86.48,412.022,1000.214,4119.334961,4058.1292,707.4666,-0.1726
305,88.5,413.165,1117.834,3696.118896,3663.7769,487.8867,-0.1324
304,90.56,413.165,752.396,5491.317383,5425.543,847.3768,-0.1549
303,92.68,414.316,691.401,5992.412598,5930.8921,856.463,-0.1434
302,94.84,413.319,700.928,5896.74707,5810.3804,1005.5363,-0.1714
301,97.05,413.401,726.65,5689.129883,5609.2573,949.9642,-0.1678
300,99.31,203.022,734.38,2764.538574,2722.4216,480.722,-0.1748
299,101.63,205.039,787.556,2603.483887,2519.9397,654.2416,-0.254
298,104,202.04,806.598,2504.836914,2456.5015,489.7019,-0.1968
297,106.42,205.01,750.417,2731.945801,2639.9644,702.9343,-0.2602
296,108.9,204.01,807.887,2525.227783,2444.4714,633.51,-0.2536
295,111.44,204.01,819.777,2488.601807,2432.6448,524.7652,-0.2125
294,114.04,205.039,752.049,2726.404297,2701.4312,368.172,-0.1355
293,116.7,204.039,800.403,2549.206055,2434.8586,754.9268,-0.3007
292,119.42,203.01,769.101,2639.572021,2626.4673,262.6976,-0.0997
291,122.2,203.022,710.623,2856.960205,2847.2725,235.0762,-0.0824
290,125.05,204.022,809.581,2520.095459,2501.6289,304.5219,-0.1211
289,127.97,203.002,761.821,2664.69873,2642.6846,341.8152,-0.1286
288,130.95,203.039,804.572,2523.570312,2481.8948,456.7333,-0.182
287,134.01,203.022,853.515,2378.659424,2328.4941,485.9381,-0.2057
286,137.13,203.022,841.637,2412.229248,2378.9692,399.1937,-0.1663
285,140.33,203.01,817.873,2482.168945,2435.4629,479.253,-0.1943
284,143.6,203.022,857.632,2367.240479,2317.1904,484.2068,-0.206
283,146.95,203.022,803.167,2527.770752,2493.0203,417.7021,-0.166
282,150.38,40,125.132,3196.626221,3142.1638,587.559,-0.1849
281,153.88,39.013,131.469,2967.462158,2870.8633,750.9838,-0.2559
280,157.47,40.012,141.662,2824.512939,2734.7017,706.5975,-0.2529
279,161.14,40.012,144.069,2777.306396,2681.634,722.6827,-0.2632
278,164.9,40.012,144.309,2772.70166,2672.2688,739.4959,-0.27
277,168.74,40.012,268.734,1488.925415,1009.0283,1094.8793,-0.8262
276,172.68,40.012,517.042,773.873901,736.687,237.0087,-0.3113
275,176.7,40,1192.511,335.426727,331.6264,50.3487,-0.1507
274,180.82,39.051,1354.81,288.241608,-180.8599,-224.4391,2.2491
273,185.04,41.012,1250.262,328.02887,234.7049,-229.1649,0.7735
272,189.36,40.05,1008.824,396.996765,359.1344,-169.2009,0.4403
271,193.77,40.012,883.84,452.712036,339.9119,299.0118,-0.7215
270,198.29,40.012,917.148,436.270996,-327.9043,287.7693,3.8619
269,202.91,40.012,367.723,1088.115967,816.743,-718.9765,0.7218
268,207.64,38,262.374,1448.315552,1446.2523,77.2806,-0.0534
